year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
2007.0,291.0,3000.0,3000.0,65.0,1.5,0.85
2007.0,582.0,2660.0,2660.0,95.0,1.372,1.1
2007.0,582.0,2400.0,2400.0,105.0,1.5,0.85
2007.0,582.0,2130.0,2130.0,105.0,1.5,0.85
2007.0,,3000.0,3000.0,119.0,1.375,1.325
2007.0,463.0,2000.0,2000.0,75.0,1.2,1.2
2007.0,243.0,3000.0,3000.0,120.0,1.375,1.375
2007.0,243.0,2800.0,2800.0,120.0,1.375,1.375
2007.0,463.0,2000.0,2000.0,95.0,1.2,
2007.0,227.4,3000.0,3000.0,95.0,1.35,1.3
2007.0,227.4,2800.0,2800.0,95.0,1.35,1.3
2007.0,820.0,3000.0,3000.0,130.0,1.3625,0.85
2007.0,582.0,3000.0,3000.0,130.0,1.372,1.1
2007.0,582.0,2933.0,2933.0,130.0,1.372,1.1
2007.0,790.0,5000.0,5000.0,160.0,1.2,0.8
2007.0,291.0,2400.0,2400.0,35.0,1.3,1.0375
2007.0,410.0,3400.0,3400.0,80.0,1.35,0.85
2007.0,790.0,4200.0,4200.0,160.0,1.2,0.8
2007.0,582.0,3000.0,3000.0,150.0,1.5,1.0
2007.0,820.0,3160.0,3160.0,120.0,1.35,0.85
2007.0,291.0,2600.0,2600.0,35.0,1.25,1.075
2007.0,291.0,3000.0,3000.0,65.0,1.3625,0.85
2007.0,503.0,1400.0,1400.0,84.0,1.1,1.1
2007.0,291.0,1600.0,1600.0,35.0,1.175,1.075
2007.0,291.0,1460.0,1460.0,35.0,1.175,1.075
2007.0,105.0,2200.0,2200.0,65.0,1.5,0.85
2007.0,582.0,1860.0,1860.0,50.0,1.5,1.0
2007.0,151.0,1730.0,1730.0,31.0,1.3,0.7625
2007.0,582.0,1600.0,1600.0,50.0,1.25,1.1
2007.0,151.0,1830.0,1830.0,27.0,1.25,1.1125
2007.0,151.0,1860.0,1860.0,31.0,1.3,0.7625
2007.0,291.0,1860.0,1860.0,30.0,1.3,0.95
2007.0,582.0,2400.0,2400.0,80.0,1.5,1.0
2007.0,582.0,2930.0,2930.0,80.0,1.5,1.0
2007.0,582.0,2000.0,2000.0,50.0,1.25,1.1
2007.0,582.0,1600.0,1600.0,80.0,1.5,1.0
2007.0,582.0,2130.0,2130.0,80.0,1.5,1.0
2007.0,582.0,2400.0,2400.0,80.0,1.5,1.0
2007.0,582.0,2400.0,2400.0,80.0,1.5,1.0
2007.0,582.0,2930.0,2930.0,130.0,1.5,1.0
2007.0,105.0,2000.0,2000.0,65.0,1.5,0.85
2007.0,1720.0,1660.0,1660.0,104.0,,
2007.0,1720.0,1600.0,1600.0,104.0,,
2007.0,1720.0,1600.0,1600.0,104.0,,
2007.0,188.0,3600.0,3600.0,65.0,1.325,1.25
2007.0,1720.0,1400.0,1400.0,104.0,1.25,1.0875
2007.0,376.0,3200.0,3200.0,95.0,1.3375,1.2
2007.0,1720.0,1660.0,1660.0,104.0,,
2007.0,1720.0,1600.0,1600.0,75.0,,
2007.0,1720.0,1420.0,1420.0,104.0,,
2007.0,820.0,2800.0,2800.0,80.0,1.35,0.85
2007.0,105.0,1800.0,1800.0,35.0,1.3375,1.0
2007.0,167.0,2200.0,2200.0,65.0,1.5,0.85
2007.0,291.0,1730.0,1730.0,27.0,1.3,0.95
2007.0,291.0,2600.0,2600.0,44.0,1.375,1.1
2007.0,291.0,2800.0,2800.0,44.0,1.375,1.1
2007.0,167.0,2200.0,2200.0,65.0,1.5,0.85
2007.0,582.0,2930.0,2930.0,130.0,1.5,0.85
2007.0,582.0,2400.0,2400.0,105.0,1.5,0.85
2007.0,582.0,2667.0,2667.0,105.0,1.5,0.85
2007.0,167.0,2000.0,2000.0,65.0,1.5,0.85
2007.0,820.0,3000.0,3000.0,80.0,1.35,0.85
2007.0,820.0,3000.0,3000.0,80.0,1.35,0.85
2007.0,820.0,2660.0,2660.0,80.0,1.35,0.85
2007.0,820.0,2500.0,2500.0,80.0,1.35,0.85
2007.0,820.0,2330.0,2330.0,80.0,1.35,0.85
2007.0,820.0,2000.0,2000.0,80.0,1.35,0.85
2007.0,820.0,2830.0,2830.0,80.0,1.35,0.85
2007.0,167.0,2400.0,2400.0,65.0,1.5,0.85
2007.0,105.0,1200.0,1200.0,19.0,1.3375,1.0
2007.0,105.0,1600.0,1600.0,35.0,1.3375,1.0
2007.0,410.0,1860.0,1860.0,65.0,1.212,0.95
2007.0,151.0,1600.0,1600.0,31.0,1.3,0.7625
2008.0,228.0,2600.0,2600.0,65.0,1.3625,0.85
2008.0,820.0,2500.0,2500.0,50.0,1.35,0.85
2008.0,731.0,3460.0,3200.0,130.0,1.375,0.8
2008.0,731.0,3200.0,2933.0,130.0,1.375,0.8
2008.0,291.0,2130.0,2130.0,31.0,1.3,0.95
2008.0,820.0,3000.0,3000.0,95.0,1.3625,0.85
2008.0,820.0,2830.0,2830.0,95.0,1.3625,0.85
2008.0,820.0,2660.0,2660.0,95.0,1.3625,0.85
2008.0,731.0,3460.0,3200.0,130.0,1.375,0.8
2008.0,410.0,1860.0,1860.0,20.0,1.35,0.85
2008.0,410.0,3000.0,3000.0,40.0,1.35,0.85
2008.0,94.0,1600.0,1600.0,8.0,1.1625,0.9
2008.0,456.0,2660.0,2660.0,95.0,13625.0,0.85
2008.0,456.0,2500.0,2500.0,95.0,1.3625,0.85
2008.0,410.0,3000.0,3000.0,65.0,1.3625,0.85
2008.0,820.0,2133.0,2133.0,40.0,1.35,0.85
2008.0,47.0,1600.0,1600.0,2.0,1.1,0.75
2008.0,47.0,1330.0,1330.0,2.0,1.1,0.75
2008.0,820.0,2330.0,2330.0,50.0,1.35,0.85
2008.0,410.0,3160.0,3160.0,65.0,1.3625,
2008.0,600.0,2750.0,2750.0,,,
2008.0,600.0,2520.0,2520.0,,,
2008.0,,1600.0,1600.0,,1.1,0.75
2008.0,731.0,2930.0,2667.0,130.0,1.375,0.8
2008.0,47.0,1600.0,1600.0,4.0,1.1625,0.9
2008.0,228.0,2500.0,2500.0,65.0,1.3625,0.85
2008.0,,2100.0,2100.0,35.0,1.1,0.95
2008.0,463.0,2600.0,2600.0,140.0,1.3,1.25
2008.0,456.0,2330.0,2330.0,95.0,1.3625,0.85
2008.0,105.0,2000.0,2000.0,65.0,1.5,0.85
2008.0,105.0,2200.0,2200.0,35.0,1.3375,1.0
2008.0,47.0,1860.0,1860.0,2.4,1.1,0.75
2008.0,47.0,800.0,800.0,0.65,1.1,0.8
2008.0,291.0,2160.0,2160.0,35.0,1.175,1.075
2008.0,291.0,2260.0,2260.0,31.0,,
2008.0,291.0,2160.0,2160.0,31.0,1.3,0.95
2008.0,228.0,2400.0,2400.0,30.0,,
2008.0,820.0,3400.0,3400.0,150.0,1.35,0.85
2008.0,1900.0,2130.0,2130.0,50.0,1.45,0.9
2008.0,1900.0,2130.0,2130.0,65.0,1.45,0.9
2008.0,1900.0,2130.0,2130.0,90.0,1.45,0.9
2008.0,1900.0,2400.0,2400.0,90.0,1.45,0.9
2008.0,1900.0,2400.0,2400.0,90.0,1.45,0.9
2008.0,1900.0,2130.0,2130.0,90.0,1.45,0.9
2008.0,1900.0,2660.0,2660.0,130.0,1.45,0.9
